appTitle,userName,date,score,text,datetime,category,id,contentRating,processed_text,len,class1_ty,class2_ycx,class3_jc,final
"Hulu: Stream TV, Movies & more",Phillix Esquea,5-Feb-19,4,"Having no issues here, only the rare/occasional crash. Docked a star for a decent buffer and a lack of downloading videos, which they said would be releasing. Had to pay for no ads tho, worth it.",2019/3/13,ENTERTAINMENT,1422515,Teen,Having no issues here only the rareoccasional crash Docked a star for a decent buffer and a lack of downloading videos which they said would be releasing Had to pay for no ads tho worth it,188,1,2,1,1
ABCmouse.com,nighmare games,22-Nov-18,5,so i babysit a little girl and let her use my phone and play it and she LOVED IT best app ever!,2019/3/8,EDUCATION,39266,Everyone,so i babysit a little girl and let her use my phone and play it and she LOVED IT best app ever,94,4,3,4,4
"iHeartRadio - Free Music, Radio & Podcasts",Jimmie Lenormand,22-Apr-19,5,its good so addicive__ it has all my favorite songs,2019/5/9,MUSIC_AND_AUDIO,1384431,Teen,its good so addicive it has all my favorite songs,49,4,4,4,4
Cash App,A Google User,30-Mar-19,1,I am lost,2019/4/1,FINANCE,433187,Everyone,I am lost,9,3,4,3,3
Spotify - Music and Podcasts,Bea Martel,8-May-19,5,easy to use.....like all music,2019/5/9,MUSIC_AND_AUDIO,1379356,Teen,easy to uselike all music,25,4,4,3,4
Kahoot!,,28-Sep-18,5,I love kahoot i do it in school to it da best math game,2019/3/8,EDUCATION,40956,Everyone,I love kahoot i do it in school to it da best math game,55,4,3,4,4
"iHeartRadio - Free Music, Radio & Podcasts",Al Shobbrook,18-Apr-19,5,"Easy to use, great selections",2019/4/21,MUSIC_AND_AUDIO,1271520,Teen,Easy to use great selections,28,3,4,4,4
Spotify - Music and Podcasts,A Google User,1-Apr-19,5,love it just wish i could choise the tracks i want on my mobile phone like i do on my ps4,2019/4/1,MUSIC_AND_AUDIO,1168429,Teen,love it just wish i could choise the tracks i want on my mobile phone like i do on my ps4,89,2,2,2,2
CVS/pharmacy,,17-Feb-19,1,this is ridiculous keep forcing me to update and I have no more memory,2019/3/16,HEALTH_AND_FITNESS,2365896,Everyone,this is ridiculous keep forcing me to update and I have no more memory,70,4,2,2,2
Netflix,raye c. williams,10-Apr-19,5,great app to have for traveling,2019/4/14,ENTERTAINMENT,1583462,Teen,great app to have for traveling,31,4,4,4,4
Ms.Sibyl - See Future Me,Anjna Dhiman,13-Apr-19,1,not so nice .....they want __ money,2019/4/14,LIFESTYLE,2248421,Everyone,not so nice they want  money,28,4,4,3,4
,erin johnson,10-Mar-19,4,PLS RESPOND: i would give it five stars but it takes two hours to download if u could fix that i would be soooo happy,2019/5/1,FAMILY,2018369,,PLS RESPOND i would give it five stars but it takes two hours to download if u could fix that i would be soo happy,114,1,1,1,1
Amazon Prime Video,jusjac505,28-Apr-19,5,A lot of choices for movies and shows to watch daily.,2019/5/9,ENTERTAINMENT,1708804,Teen,A lot of choices for movies and shows to watch daily,52,3,4,3,3
Fantastic Face _ Daily face & Beauty Competition,Crazy Friends,12-Feb-19,1,won't give me any results at all!!!,2019/4/7,LIFESTYLE,2210776,,wont give me any results at all,31,4,1,1,1
SoundCloud - Music & Audio,Bobby Rentas,26-Apr-19,5,I love it its better than pandora honestly,2019/5/9,MUSIC_AND_AUDIO,1372135,Teen,I love it its better than pandora honestly,42,4,4,4,4
,Allison Pinkerton,17-Apr-19,5,credit karma has really helped me stay on top of scoring good credit! Thank you!,2019/5/1,FINANCE,614700,,credit karma has really helped me stay on top of scoring good credit Thank you,78,3,3,3,3
,Tamara Ayala,9-Mar-19,5,the best ever,2019/5/1,FINANCE,627312,,the best ever,13,4,4,4,4
Lose It! - Calorie Counter,Ash Violet,5-Jan-19,5,"This is a great excersise app! I love to use it daily and you know, lose it. The weight.",2019/4/14,HEALTH_AND_FITNESS,2561527,Everyone,This is a great excersise app I love to use it daily and you know lose it The weight,84,4,3,4,4
Amazon Music,Tony Casey,4-May-19,5,absolutely brilliant this app thank you amazon,2019/5/9,MUSIC_AND_AUDIO,1389709,Teen,absolutely brilliant this app thank you amazon,46,4,4,4,4
Duolingo: Learn Languages Free,tracy Richardson,27-Mar-19,1,"Very disappointed, got this app liked it at first, but then had to create a profile and couldn't progress until i did and had to be online all the time, Uninstalling. __",2019/4/1,FAMILY,1845103,Everyone,Very disappointed got this app liked it at first but then had to create a profile and couldnt progress until i did and had to be online all the time Uninstalling ,162,4,1,3,4
Tinder,Mercedes Gosnell,20-Apr-19,2,"It's just barely okay. Very limited features. No search or filters, really. I even paid for Gold, and honestly, the only useful thing has been the Oops/Go back function. One boost a month is cheap and useless, and the Top Picks don't seem to adjust based on my actions or preferences. The character limit for profiles is strict, but I also wish people were required to put SOMETHING in there. I've also run out of people like 8 times now, and I've had to repeatedly reject the same profiles.",2019/4/21,LIFESTYLE,2283473,Mature 17+,Its just barely okay Very limited features No search or filters really I even paid for Gold and honestly the only useful thing has been the OopsGo back function One boost a month is cheap and useless and the Top Picks dont seem to adjust based on my actions or preferences The character limit for profiles is strict but I also wish people were required to put SOMETHING in there Ive also run out of people like 8 times now and Ive had to repeatedly reject the same profiles,473,2,2,2,2
Netflix,Chad Martin,7-May-19,5,bsst shows out of all the apps or movie aplications for android or iphone..,2019/5/9,ENTERTAINMENT,1719886,Teen,bsst shows out of all the apps or movie aplications for android or iphone,73,3,4,4,4
Duolingo: Learn Languages Free,,23-Mar-19,5,useful for us,2019/3/24,EDUCATION,46946,Everyone,useful for us,13,3,4,3,3
Amazon Alexa,Cindy Gauthier,7-May-19,1,never loaded never worked,2019/5/9,MUSIC_AND_AUDIO,1370015,Everyone,never loaded never worked,25,1,1,1,1
,Mikayla Hall,21-Feb-19,1,Does not work!,2019/5/1,FINANCE,619964,,Does not work,13,1,1,1,1
Tubi - Free Movies & TV Shows,Chanell and Chantae the jones sister,30-Apr-19,4,I enjoy watching about 3 4 hrs a day,2019/5/9,ENTERTAINMENT,1739525,Teen,I enjoy watching about 3 4 hrs a day,36,3,4,3,3
Google Home,Lezette Morgan,25-Jan-19,1,Had it for awhile now and almost never find the devices in the room,2019/3/13,LIFESTYLE,2072977,Everyone,Had it for awhile now and almost never find the devices in the room,67,3,1,1,1
Amazon Prime Video,Robin England,19-Apr-19,1,"Only lets me watch ads. Crashes immediately after playing ad, won't play paid content.",2019/4/21,ENTERTAINMENT,1657365,Teen,Only lets me watch ads Crashes immediately after playing ad wont play paid content,82,1,1,1,1
,Alexis Navarro,23-Apr-19,5,I like Amazon,2019/5/1,MUSIC_AND_AUDIO,1325898,,I like Amazon,13,4,4,4,4
Duolingo: Learn Languages Free,Sonicfan 31,6-Apr-19,1,Help duo kidnapped my family because I missed my japanese 30 day streak. I want to see my family again. I've studied for 8 weeks! Please!,2019/4/7,EDUCATION,147891,Everyone,Help duo kidnapped my family because I missed my japanese 30 day streak I want to see my family again Ive studied for 8 weeks Please,132,3,3,3,3
YouTube Music - Stream Songs & Music Videos,garrett flint,15-Feb-19,2,"Not very good for discovering new music. It seemed like no matter how many ""likes"" I gave songs, it still only chose the same 20 songs for my personalized playlist. Many bands that have accounts on Spotify had almost no content on YouTube Music, which I found puzzling. I tried it with the 3-month trial, but will not be signing up after that.",2019/3/9,MUSIC_AND_AUDIO,1067470,Teen,Not very good for discovering new music It seemed like no matter how many likes I gave songs it still only chose the same 20 songs for my personalized playlist Many bands that have accounts on Spotify had almost no content on YouTube Music which I found puzzling I tried it with the 3month trial but will not be signing up after that,333,4,2,2,2
Remind: School Communication,Meisha Kelley,11-Dec-18,5,I love it keeps me in the know of whats going on...,2019/3/8,EDUCATION,17096,Everyone,I love it keeps me in the know of whats going on,48,4,4,4,4
